date time;hits
2020-11-20T21:14:31;28
2020-11-20T21:17:15;30
2020-11-20T21:20:02;33
2020-11-20T22:15:26;45
2020-11-20T22:41:37;47
2020-11-20T23:19:37;48
2020-11-21T11:19:26;61
2020-11-21T17:19:28;73
2020-11-21T23:19:34;86
2020-11-22T11:17:29;100
2020-11-22T17:18:18;112
2020-11-22T21:10:46;124
2020-11-22T21:19:36;133
2020-11-22T23:19:35;157
2020-11-23T11:21:12;167
2020-11-23T17:19:26;239
2020-11-23T23:19:32;293
2020-11-24T11:19:33;372
2020-11-24T17:19:35;425
2020-11-24T23:19:32;489
2020-11-25T11:19:33;514
2020-11-25T17:19:50;519
2020-11-28T11:19:40;519
2020-11-28T17:19:38;532
2020-11-28T23:19:40;547
2020-11-29T11:19:40;555
2020-11-29T17:20:01;585
2020-11-29T23:19:42;632
2020-11-30T11:19:51;688
2020-11-30T17:19:45;735
2020-11-30T23:02:06;740
2020-11-30T23:05:00;741
2020-11-30T23:19:44;746
2020-11-30T23:31:30;750
2020-12-01T11:19:47;757
2020-12-01T17:19:47;760
2020-12-01T19:25:56;777
2020-12-01T19:47:10;780
2020-12-01T19:51:02;782
2020-12-01T22:45:00;812
2020-12-01T22:46:04;813
2020-12-01T22:46:55;814
2020-12-01T23:19:08;816
2020-12-02T11:19:07;834
2020-12-02T17:19:10;922
2020-12-02T23:19:37;991
2020-12-03T11:19:09;1102
2020-12-03T17:19:27;1216
2020-12-03T23:19:10;1295
2020-12-04T01:02:38;1309
2020-12-04T11:20:31;1381
2020-12-04T17:20:35;1431
2020-12-04T23:05:04;1474
2020-12-04T23:22:01;1477
2020-12-05T11:20:25;1565
2020-12-05T17:20:25;1611
2020-12-05T23:20:23;1658
2020-12-06T11:19:15;1749
2020-12-06T17:19:22;1808
2020-12-06T22:14:52;1845
2020-12-06T23:19:19;1854
2020-12-07T11:19:26;1956
2020-12-07T17:19:22;2070
2020-12-07T23:19:25;2158
2020-12-08T11:20:47;2236
2020-12-08T16:58:03;2319
2020-12-08T17:20:50;2327
2020-12-08T22:55:59;2450
2020-12-08T22:58:13;2453
2020-12-08T23:20:18;2463
2020-12-09T11:20:45;2659
2020-12-09T17:21:30;2761
2020-12-09T21:59:50;2802
2020-12-09T22:14:46;2805
2020-12-09T23:20:50;2814
2020-12-10T11:19:24;2895
2020-12-10T17:19:55;2969
2020-12-10T20:49:36;3005
2020-12-10T23:20:47;3026
2020-12-11T10:36:50;3039
2020-12-11T11:20:33;3043
2020-12-11T17:19:35;3049
2020-12-11T23:19:29;3058
2020-12-12T11:19:33;3065
2020-12-12T17:20:24;3076
2020-12-12T23:20:24;3089
2020-12-13T11:19:37;3091
2020-12-13T17:19:52;3128
2020-12-13T23:19:37;3156
2020-12-14T15:15:58;3203
2020-12-14T15:21:20;3207
2020-12-14T17:19:45;3228
2020-12-14T18:37:04;3249
2020-12-14T22:12:04;3309
2020-12-14T23:19:46;3328
2020-12-15T11:20:12;3409
2020-12-15T15:40:47;3445
2020-12-15T15:46:40;3446
2020-12-15T17:19:48;3459
2020-12-15T21:28:19;3494
2020-12-15T21:37:31;3496
2020-12-15T21:38:24;3497
2020-12-15T23:19:43;3517
2020-12-16T11:19:43;3600
2020-12-16T17:19:43;3655
2020-12-16T23:19:45;3702
2020-12-17T11:19:47;3794
2020-12-17T12:43:13;3818
2020-12-17T12:46:12;3820
2020-12-17T17:18:19;3896
2020-12-17T23:18:22;4000
2020-12-18T11:18:29;4161
2020-12-18T17:18:24;4253
2020-12-18T23:18:24;4344
2020-12-19T11:18:28;4518
2020-12-19T17:18:27;4626
2020-12-19T23:18:26;4724
2020-12-20T00:02:40;4738
2020-12-20T11:18:55;4909
2020-12-20T13:00:45;4941
2020-12-20T17:18:30;5028
2020-12-20T23:19:50;5168
2020-12-21T11:18:33;5261
2020-12-21T15:38:38;5320
2020-12-21T16:15:13;5331
2020-12-21T16:17:15;5333
2020-12-21T17:18:41;5350
2020-12-21T23:18:36;5444
2020-12-22T11:18:38;5605
2020-12-22T17:18:46;5702
2020-12-22T18:24:40;5719
2020-12-22T23:18:41;5770
2020-12-23T11:18:46;5856
2020-12-23T17:18:55;5904
2020-12-23T23:18:40;5952
2020-12-24T11:19:16;6027
2020-12-24T12:08:52;6037
2020-12-24T17:18:45;6080
2020-12-24T22:50:53;6132
2020-12-24T23:18:53;6137
2020-12-25T11:18:51;6233
2020-12-25T17:18:51;6295
2020-12-25T23:18:50;6367
2020-12-26T11:18:51;6474
2020-12-26T17:20:17;6542
2020-12-26T23:19:15;6600
