"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	8593	13
2020-02-28	0	126	0	9254	14
2020-02-29	0	191	0	9915	15
2020-03-01	0	263	0	11237	17
2020-03-02	0	346	0	11237	16
2020-03-03	0	436	0	12559	18
2020-03-04	0	538	0	14542	21
2020-03-05	0	649	0	15864	21
2020-03-06	0	778	0	18508	24
2020-03-07	0	915	0	20491	26
2020-03-08	0	1071	0	23796	32
2020-03-09	0	1252	0	28423	37
2020-03-10	0	1456	0	35033	45
2020-03-11	0	1696	0	40982	52
2020-03-12	0	1979	0	56185	72
2020-03-13	0	2331	0	64778	82
2020-03-14	0	2722	0	78659	101
2020-03-15	0	3161	0	97167	123
2020-03-16	0	3733	0	118980	153
2020-03-17	0	4389	0	142115	182
2020-03-18	0	5173	0	179131	233
2020-03-19	0	6166	0	223418	293
2020-03-20	0	7331	0	278942	365
2020-03-21	0	8576	0	333805	435
2020-03-22	0	9922	0	383380	486
2020-03-23	0	11596	0	448819	575
2020-03-24	0	13522	0	522190	654
2020-03-25	0	15665	0	602171	754
2020-03-26	0	18006	0	676864	840
2020-03-27	0	20606	0	754201	923
2020-03-28	0	23145	0	822945	987
2020-03-29	0	25637	0	883757	1038
2020-03-30	0	28275	0	969026	1122
2020-03-31	0	30841	0	1042397	1187
2020-04-01	0	33309	0	1093294	1205
2020-04-02	0	35755	0	1158072	1250
2020-04-03	0	38207	0	1208969	1277
2020-04-04	0	40448	0	1252595	1282
2020-04-05	0	42639	0	1302831	1306
2020-04-06	0	44950	0	1343152	1313
2020-04-07	0	47121	0	1382812	1315
2020-04-08	0	49152	0	1421150	1286
2020-04-09	0	51008	0	1455522	1283
2020-04-10	0	52775	0	1488572	1290
2020-04-11	0	54355	0	1508402	1260
2020-04-12	0	55879	0	1530876	1241
2020-04-13	0	57394	0	1560621	1225
2020-04-14	0	58923	0	1585739	1203
2020-04-15	0	60366	0	1602264	1178
2020-04-16	0	61698	0	1622094	1144
2020-04-17	0	62988	0	1639280	1113
2020-04-18	0	64138	0	1651839	1068
2020-04-19	0	65260	0	1665059	1037
2020-04-20	0	66421	0	1682906	1016
2020-04-21	0	67536	0	1698109	981
2020-04-22	0	68571	0	1708024	923
2020-04-23	0	69565	0	1718600	882
2020-04-24	0	70503	0	1731159	864
2020-04-25	0	71312	0	1740413	833
2020-04-26	0	72091	0	1749006	806
2020-04-27	0	72854	0	1758260	785
2020-04-28	0	73633	0	1768175	764
2020-04-29	0	74354	0	1776107	736
2020-04-30	0	75051	0	1788005	712
2020-05-01	0	75694	0	1793954	678
2020-05-02	0	76254	0	1799903	639
2020-05-03	0	76798	0	1807174	626
2020-05-04	0	77390	0	1815106	615
2020-05-05	0	77915	0	1817089	574
2020-05-06	0	78455	0	1821716	548
2020-05-07	0	78969	0	1828326	527
2020-05-08	0	79482	0	1832953	495
2020-05-09	0	79947	0	1836258	473
2020-05-10	0	80394	0	1838902	455
2020-05-11	0	80870	0	1844190	449
2020-05-12	0	81317	0	1845512	407
2020-05-13	0	81738	0	1848156	391
2020-05-14	0	82126	0	1854105	365
2020-05-15	0	82493	0	1856088	348
2020-05-16	0	82817	0	1861376	333
2020-05-17	0	83155	0	1864020	327
2020-05-18	0	83525	0	1866664	322
2020-05-19	0	83871	0	1867325	288
2020-05-20	0	84203	0	1868647	278
2020-05-21	0	84501	0	1869969	257
2020-05-22	0	84829	0	1872613	246
2020-05-23	0	85121	0	1875257	231
2020-05-24	0	85405	0	1879884	230
2020-05-25	0	85724	0	1880545	220
2020-05-26	0	86037	0	1883189	197
2020-05-27	0	86320	0	1885833	183
2020-05-28	0	86582	0	1886494	175
2020-05-29	0	86846	0	1888477	165
2020-05-30	0	87093	0	1890460	156
2020-05-31	0	87335	0	1892443	158
2020-06-01	0	87581	0	1895748	156
2020-06-02	0	87849	0	1896409	151
2020-06-03	0	88108	0	1899714	137
2020-06-04	0	88352	0	1903680	135
2020-06-05	0	88579	0	1905663	132
2020-06-06	0	88773	0	1906985	130
2020-06-07	0	88967	0	1908968	129
2020-06-08	0	89161	0	1908968	127
2020-06-09	0	89335	0	1910290	120
2020-06-10	0	89493	0	1911612	117
2020-06-11	0	89655	0	1912273	113
2020-06-12	0	89808	0	1914256	110
2020-06-13	0	89942	0	1915578	108
2020-06-14	0	90075	0	1915578	107
2020-06-15	0	90211	0	1916239	106
2020-06-16	0	90347	0	1917561	97
2020-06-17	0	90475	0	1917561	88
2020-06-18	0	90604	0	1918222	81
2020-06-19	0	90729	0	1918222	74
2020-06-20	0	90835	0	1919544	74
2020-06-21	0	90942	0	1919544	70
2020-06-22	0	91052	0	1921527	72
2020-06-23	0	91163	0	1922188	65
2020-06-24	0	91273	0	1922849	61
2020-06-25	0	91390	0	1922849	59
2020-06-26	0	91503	0	1922849	53
2020-06-27	0	91595	0	1922849	49
2020-06-28	0	91691	0	1922849	45
2020-06-29	0	91796	0	1922849	45
2020-06-30	0	91887	0	1924171	45
2020-07-01	0	91976	0	1924171	41
2020-07-02	0	92058	0	1926154	43
2020-07-03	0	92140	0	1926154	40
2020-07-04	0	92212	0	1926815	41
2020-07-05	0	92287	0	1926815	39
2020-07-06	0	92366	0	1926815	38
2020-07-07	0	92447	0	1927476	36
2020-07-08	0	92526	0	1928798	33
2020-07-09	0	92605	0	1929459	33
2020-07-10	0	92694	0	1930120	34
2020-07-11	0	92775	0	1930120	32
2020-07-12	0	92856	0	1930781	33
2020-07-13	0	92944	0	1930781	32
2020-07-14	0	93033	0	1930781	29
2020-07-15	0	93115	0	1931442	29
2020-07-16	0	93193	0	1932103	28
2020-07-17	0	93269	0	1932103	28
2020-07-18	0	93352	0	1932103	27
2020-07-19	0	93438	0	1932764	28
2020-07-20	0	93527	0	1933425	28
2020-07-21	0	93615	0	1934747	28
2020-07-22	0	93692	0	1935408	28
2020-07-23	0	93776	0	1936069	26
2020-07-24	0	93858	0	1936730	25
2020-07-25	0	93943	0	1937391	22
2020-07-26	0	94030	0	1939374	23
2020-07-27	0	94125	0	1941357	26
2020-07-28	0	94223	0	1941357	26
2020-07-29	0	94312	0	1941357	25
2020-07-30	0	94405	0	1943340	27
2020-07-31	0	94502	0	1945984	30
